"Derwent Innovation Patent Export, 2024-07-20 20:42:28 +0000 "
"Search results for: CMP=((""UBER"")) AND AD>=(18000101);","Collections searched: United States app; United States grant"""
Publication Number,Inventor,Publication Date,Application Date,Title - DWPI,Count of Citing Patents,Citing Patents,IPC - Current,US Class,Assignee/Applicant,Assignee - Original w/address,Optimized Assignee,Title,Abstract,Abstract - DWPI
US10726335B2,"Yosinski, Jason | Li, Chunyuan | Liu, Ruoqian",2020-07-28,2018-10-26,"Method for generating compressed representations of neural networks, by transmitting compressed representation of neural network to target system which uncompresses neural network",0,,G05D000100 | G06F001716 | G06N000304 | G06N000308,,"Uber Technologies Inc.,San Francisco,CA,US","Uber Technologies Inc.,San Francisco,CA,US ",UBER TECHNOLOGIES INC,Generating compressed representation neural networks having high degree of accuracy,"Machine learning based models, for example, neural network models employ large numbers of parameters, from a few million to hundreds of millions or more. A machine learning based model is trained using fewer parameters than specified. An initial parameter vector is initialized, for example, using random number generation based on a seed. During training phase, the parameter vectors are modified in a subspace around the initial vector. The trained model can be stored or transmitted using seed values and the trained parameter vector in the subspace. The neural network model can be uncompressed using the seed values and the trained parameter vector in the subspace. The compressed representation of neural networks may be used for various applications such as generating maps, object recognition in images, processing of sensor data, natural language processing, and others.","The method involves receiving a request for training a neural network, and determining one or more seeds. A first parameter vector representing weights of the neural network is initialized. The initialization comprises determining values of the first parameter vector using random numbers generated based on the one or more seeds. A number of dimensions for a subspace for training the neural network is determined. A projection matrix for mapping the first parameter vector to a second parameter vector in the subspace is determined. The machine learning based model is trained by modifying the parameter vectors in the dimensions of the subspace, the training generating a trained parameter vector in the subspace. A compressed representation of the neural network comprising one or more seeds and the trained parameter vector is stored. The compressed representation of the neural network is transmitted to a target system which uncompresses the neural network. | The number of dimensions of the subspace is less than the particular number of dimensions of the first parameter vector in the space. The size of the projection matrix is based on the particular number of dimensions of the input space and the number of dimensions of the subspace. Elements of the projection matrix are determined by generating random numbers based on the one or more seeds. INDEPENDENT CLAIMS are also included for the following:a method for generating machine learning based models; anda computer system for generating compressed representations of neural networks. | Method for generating compressed representations of neural networks in various applications. Uses include but are not limited to; generating maps, recognition of objects in images, processing sensor data captured by a robot or a vehicle, playing of video games, or natural language processing. | The transmission of the compressed representation of the neural network is significantly more efficient in terms of communication and computational resources compared to the transmission of an uncompressed neural network with parameters in the original space. | The drawing is a high-level block diagram illustrating a networked computing environment in which compressed neural networks may be used. 112Neural network training module114Neural network compression module116App packaging module122App provider interface module124User interface module",
US10733547B2,"Zhao, Lei | Zhao, Feng | Yates, Vincent | Pottier, Marc",2020-08-04,2019-07-31,"Method for arranging transport service, involves selecting driver device from set of driver devices based on distance between driver device and pickup location, and providing transport service for rider to driver device",1,US20210295224A1,G06Q001006 | G06Q001004,,"Uber Technologies Inc.,San Francisco,CA,US","Uber Technologies Inc.,San Francisco,CA,US ",UBER TECHNOLOGIES INC,Pre-selection drivers in a passenger transport system,"In some locations, such as airports, drivers that provide passenger transport must wait a significant distance away from the pickup location. To reduce the delay between a passenger requesting a ride and being picked up, drivers are pre-dispatched before being assigned to specific passengers. The demand for a future time period is predicted and the number of drivers that should be pre-dispatched to meet that demand is estimated. The estimated number of drivers is sent pre-dispatch instruction indicating they should leave the waiting area and head towards the pickup location.","The method involves predicting (710) a number of transport requests in a first geographic region for a future time period. An instance of the message instructing a driver of that driver device is transmitted to travel toward a specified location in the first geographic region without assigning a specific transport service or rider to the respective driver to each driver device of the first set of driver devices. A transport request including a pickup location in the first geographic region is received from a client device of a first rider. A second set of driver device is determined based on proximity to the pickup location such that the second set of driver devices includes the first set of driver devices. A first driver device is selected from the second set of driver devices based on a distance between the first driver device and the pickup location. An invitation to provide the transport service for the first rider is transmitted to the first driver device. | An INDEPENDENT CLAIM is included for a non-transitory computer-readable storage medium storing program for arranging transport service. | Method for arranging transport service. | Since the driver that is selected is among those already pre-selected and instructed to travel towards the specific location, the driver can be automatically assigned to provide the ride for the passenger without the driver having to affirmatively accept an invitation. The model is improved over time to more accurately predict the true demand. The prediction is more reliable over time, by increasing the efficiency of the passenger transport system. The use of pre-selection enables the matching server to more efficiently perform its function of pairing passengers with appropriate drivers, reduces network overhead and improves the experience for drivers and passengers. | The drawing shows a flow-chart illustrating a method for pre-selecting drivers. 700Method for arranging transport service710Step for predicting a number of transport request720Step for accounting previously preferably-selected driver730Step for estimating number of pre-selecting instruction740Step for sending pre-selection notice to the estimated number of driver",
US10732000B2,"Jalasutram, Srikanth | Lachaud, Guillaume | Rau, Varun Krishna | Vardhan, Abhay",2020-08-04,2017-09-12,"Method for determining checkpoints along route with which provider is likely to comply, involves sending checkpoints to user device of user for presentation to user and monitoring user compliance with respect to checkpoints",0,,G01C002134 | G01C002136 | G06N000502 | G06N002000,,"Uber Technologies Inc.,San Francisco,CA,US","Uber Technologies Inc.,San Francisco,CA,US ",UBER TECHNOLOGIES INC,Promoting user compliance with adaptive checkpoints,"A system determines a route for a user and creates checkpoints along the route to encourage the user to follow the suggested route. For example, a ride sharing system may encourage users with vehicles to move toward regions where rides are in highest demand by offering a route to that region with checkpoints along the way. A user may receive a reward upon reaching a checkpoint. The system may adapt checkpoints to user types. Models are trained to output rule sets for placing checkpoints along a route and assigning values to the checkpoints. In some embodiments, the models are trained according to categories of users, so that the checkpoints can be placed in a way that will encourage the user to comply with a route. When a user strays from a suggested route, the system generates an updated set of checkpoints to encourage the user to return to the route.","The method involves identifying a route from the user's current location to a destination location. A categorization of a user is determined (510). A model is selected from models according to the categorization of the user, and configured to produce a rule set for determining checkpoints along a route. A rule set is determined (540) using the selected model. The rule set is applied (550) to the generated route to determine checkpoints which includes a location along the route. The checkpoints are sent (560) to a user device of the user for presentation to the user. The user compliance is monitored (570) with respect to the checkpoints. | INDEPENDENT CLAIMS are included for the following:a non-transitory computer-readable storage medium storing program for determining checkpoints along route; anda computer system for determining checkpoints along route. | Method for determining checkpoints along route with which provider is likely to comply. | The method allows the system to balance inequalities between supply and demand of providers in different areas of map. The models uses provider profile information, past trip information, map data, and information about current conditions to determine rule set which places checkpoints along a route to encourage a particular provider to comply with a suggested route. The model is trained to select rule set by determining likelihood that provider complies with checkpoints generated by different rule sets based on past trip data. | The drawing shows a flowchart illustrating the method for determining checkpoints along route with which provider is likely to comply. 510Step for determining categorization of user550Step for applying rule set to the generated route to determine checkpoints560Step for sending checkpoints to user device of the user for presentation to the user570Step for monitoring user compliance with respect to the checkpoints",
US10731998B2,"Rahematpura, Miraj | Nickels, John Mark | O'Mahony, Eoin | Guo, Danhua | Sundaresan, Vishnu | Seeman, Lior | Vosoughpour, Meisam",2020-08-04,2018-11-02,"Network computer system for arranging pooled transport services, comprises memory for storing instructions, where processors access instructions to receive service requests over given time interval, and pooled transport service is arranged",9,US11112255B2 | US11532061B2 | US11551325B2 | US11601511B2 | US11674810B2 | US11713973B2 | US11885631B2 | US12026641B2 | US20220270023A1,G01C002128 | G01C002134 | G06Q001006 | G08G000100,,"Uber Technologies Inc.,San Francisco,CA,US","Uber Technologies Inc.,San Francisco,CA,US ",UBER TECHNOLOGIES INC,Network computer system to arrange pooled transport services,"A network computer system operates to receive a plurality of service requests over a given time interval, where individual service requests specify a respective target destination and a current location of a respective requester device. For each service request, the network computer system arranges a pooled transport service for the corresponding requester by selecting a service start location, and instructions for enabling the requester to travel to the service start location. The network computer system may select the service provider based on a variety of considerations, including the service start location, the current location of the corresponding service provider, and the determined time interval.","The network computer system comprises a memory for storing the instructions (442), where the processors access the instructions to receive the service requests over a given time interval. The service requests are provided for specifying a respective target destination and a current location of a respective requester device. A pooled transport service is arranged for a corresponding requester for multiple service requests. A service start location for the service request is selected based in a unit on the current location of the respective requester device and the respective target destination of the service request. The instructions are provided to the respective requester device to enable the corresponding requester to travel to the service start location. The time interval for the corresponding requester is determined to arrive at the selected service start location. | INDEPENDENT CLAIMS are included for the following:a method for providing the on-demand, pooled transport services; anda non-transitory computer-readable medium for storing the instructions executed by the processors of a network computer system. | Network computer system for arranging the pooled transport services. | The memory is provided for storing the instructions, where the processors access the instructions to receive the service requests over a given time interval, and hence enables minimizing the route deviation and arranges the pooled transport services in an easy manner. | The drawing shows a schematic view of a computer system. 400Computer system410Processing resource420Memory resource440Storage device442Instruction450Communication interface",
US10733473B2,"Ash, Richard | Evans, Lenny | Ongchin, Derrick",2020-08-04,2018-09-20,"Mobile computing device for managing network-based service, has processor that captures image of object using camera in response to detecting user action while verification user interface is presented on display of mobile computing device",0,,G06F00030481 | G06F0016435 | G06N002000 | G06V0010141 | G06V001060 | G06V003040,,"Uber Technologies Inc.,San Francisco,CA,US","Uber Technologies Inc.,San Francisco,CA,US ",UBER TECHNOLOGIES INC,Object verification for a network-based service,"A mobile computing device can capture a plurality of images of an object to be verified using a camera of the mobile computing device. A first image of the plurality of images is captured while a flash of the mobile computing device is deactivated and a second of the plurality of images is captured while the flash is activated. The verification data can include a first set of verification metrics, which is representative of the light reflectivity of the object, and can be generated by the mobile computing device or a network service by analyzing the first and second images.","The device (200) has a display, a camera (215) and a processor. The processor captures multiple images (217) of the object using camera in response to detecting a user action while the verification user interface is presented on the display of the mobile computing device. The processor generates verification data which includes a first set of verification metrics based on analyzing the multiple images. The first set of verification metrics is determined by analyzing a first image of the multiple images captured while a flashlight of the mobile computing device is deactivated and a second image of multiple images captured while the flashlight of the mobile computing device is activated. The first set of verification metrics is generated based on a light reflectivity of the object. The processor transmits the verification data over the network to the network system. | INDEPENDENT CLAIMS are included for the following:a method for managing network-based service; anda network system for managing network-based service. | Mobile computing device such as desktop computer, cellular device or smart phone, personal digital assistant (PDA), laptop computer, virtual reality (VR) or augmented reality (AR) headset, tablet device and TV for managing network-based service such as transport service and delivery service. | Since the sensitive data is not transmitted over the network to the network system, the privacy of sensitive data is maintained. | The drawing shows a block diagram illustrating mobile computing device in communication with network system. 200Mobile computing device215Camera217Image230Service engine250Memory",
US10733251B2,"Flinn, Steven Dennis | Moneypenny, Naomi Felina",2020-08-04,2018-01-18,"Inferential user matching system for matching automated mutual commit user for business, has processor for transmitting bilateral interest indication to portable device of each of users based on detecting expression of interest from users",0,,G06F00169535 | H04W000402 | G06F0015173 | G06F0016335 | G06F001690 | G06N000504 | G06Q005000 | H04L001258 | H04L002906 | H04L002908 | H04W000414,,"Uber Technologies Inc.,San Francisco,CA,US","Uber Technologies Inc.,San Francisco,CA,US ",UBER TECHNOLOGIES INC,Inferential user matching system,"An inferential user matching system can determine a mutual interest between a first user and a second user based on inferred trends corresponding to a set of usage behaviors by a plurality of users utilizing the system. Based on determining the mutual interest, the system can transmit, over one or more networks, a representation of the first and/or second user to the portable computing device of other user and monitor the first and/or second user to detect an expression of interest. Based on detecting the expression of interest, the system can transmit an expression of interest indication to a portable device(s) of the first and/or second user.","The system (925) has multiple processors for determining a mutual interest between first and second users (200). The processor transmits a first representation of the first user to a portable device of the second user over multiple networks. The processor transmits a second representation of the second user to another portable device of the first user. The processor detects an expression of interest from each of the users. The processor transmits a bilateral interest indication to the portable device of each of the users based on detecting the expression of interest from the users. | An INDEPENDENT CLAIM is also included for a method for performing inferential user matching process. | Inferential user matching system for matching an automated mutual commit user for business, shared interests or romance by using portable computing device (claimed), i.e. mobile telephony device such as mobile phone or personal digital assistant. | The system reduces a potential for experience of rejection if the expression of interest is not reciprocated when both parties are not received a recommendation for another party. | The drawing shows a block diagram of an inferential user matching system. 200Users910Deliver people recommendation915Mutual expression920Usage behaviors925Inferential user matching system",
US10743134B2,"Lin, Hungyu Henry | Kalanick, Travis Cordell | Wang, Emily",2020-08-11,2019-05-31,"System for providing service information for e.g. food delivery, has processors for communicating data to provider devices of providers within geographic region to display visual indicator identifying undersupplied sub-regions",3,US11355009B1 | US11386781B1 | US11935403B1,G06Q003002 | G06Q005010 | H04W000402 | H04W0004029,,"Uber Technologies Inc.,San Francisco,CA,US","Uber Technologies Inc.,San Francisco,CA,US ",UBER TECHNOLOGIES INC,System and method for providing dynamic supply positioning for on-demand services,"A method for providing on-demand service information is provided. One or more processors determine, for a given geographic region, position information for each of a plurality of requesters for an on-demand service and position information for each of a plurality of service providers that can provide the on-demand service. A plurality of sub-regions is identified for the given geographic region. Based, at least in part, on the position information of the requesters and the service providers, one or more sub-regions are determined as being under-supplied by the plurality of service providers as compared to one or more other sub-regions. Information identifying the under-supplied sub-regions are provided to one or more service provider devices.","The system has processors (610) for determining predicted number of requesters and predicted requester position information within a geographic region for a future window of time based on a location of user devices, requester states, and historical data from on-demand service for the future window of time. The processors determine undersupplied sub-regions of the geographic region for the future window of time based on the predicted number of requesters and the predicted requester position information and communicates data to provider devices of providers within the geographic region to display a visual indicator identifying the undersupplied sub-regions for the future window of time. | INDEPENDENT CLAIMS are also included for the following:a method for providing information for on-demand servicea non-transitory computer-readable medium comprising a set of instructions for providing service information for on-demand service. | System for providing service information for on-demand service e.g. transportation or delivery service such as food delivery, messenger service, food lorry service, or product shipping, and entertainment service such as mariachi band, and string quartet. | The system uses service providers to maneuver to different positions or areas in a given region to provide efficient service and increase business. | The drawing shows a block diagram of a mobile computing device. 600Computing device610Processors615User interface620Memory resources640Communication sub-systems",
US10739148B2,"Ettinger, Esther Abramovich | Fuchs, Gil Emanuel",2020-08-11,2018-08-09,"Method for adapting routing information provided by mapping or routing device, involves transmitting modified calculated route guidance to user device for presentation on user device by utilizing computer system",2,US11747150B2 | US20220107200A1,G01C002134 | G01C002136,,"Uber Technologies Inc.,San Francisco,CA,US","Uber Technologies Inc.,San Francisco,CA,US ",UBER TECHNOLOGIES INC,Routing device that modifies route guidance based on user input,A vehicle routing device that determines a route from an origin to a destination including route guidance. The route guidance is modified based on user input. The modification can supply increased or reduced route guidance at intervals along the route. Route guidance may be modified to incorporate landmarks and personal contacts.,"The method involves calculating a route and route guidance from an origin to a destination by a computer system including a hardware processor. A location of a user device is determined during travel of the user device between the origin and the destination. The calculated route guidance is modified as a function of a high traffic situation along the calculated route during the travel of the user device between the origin and the destination based on the determined location of the user device, where the modifying includes increasing a level of detail of the calculated route guidance based on the high traffic situation along the calculated route. The modified calculated route guidance is transmitted to the user device for presentation on the user device. | Method for adapting routing information provided by a mapping or routing device. | The method enables providing a reduced level of routing information, where routing information can be turned off completely for a time period. | The drawing shows a schematic view of a system for adapting the routing information provided by a mapping or routing device. 102Mapping/routing device152Time154Adapted map/routing information",
US10740615B2,"Rogan, Aaron Matthew | Leung, Wes | Belmonte, Nicolas Garcia | Sadana, Ramik",2020-08-11,2018-11-20,"Method for generating mutual augmented reality experiences for users of network system, such as transport management systems, involves for receiving periodic location information from client device, which is associated with provider",2,US11716616B2 | US20200359216A1,G06K000900 | G06K000932 | G06T001900 | H04W000440,,"Uber Technologies Inc.,San Francisco,CA,US","Uber Technologies Inc.,San Francisco,CA,US ",UBER TECHNOLOGIES INC,Mutual augmented reality experience for users in a network system,"A network system, such as a transport management system, generates a mutual augmented reality (AR) experience for a user and a provider associated with a service. Responsive to receiving a service request, a service management module matches the user with an available provider and monitors the location of the user and provider client devices as the user and provider travel to the pickup location. When the devices are within a threshold distance of each other, an image recognition module monitors live video streams on the devices for the vehicle and the user. Responsive to the vehicle and user entering the field of view of the devices, an AR control module selects computer-generated AR elements and instructs the devices to visually augment the video streams to identify the user and provider to each other and to allow the user and provider to communicate and share data with each other.","The method involves for receiving periodic location information from a client device (100), which is associated with a provider of a transportation service. A client device is associated with a user of the service. The provider client device is determined by the user client device within a threshold distance of each other. The provider client device is responsive within the threshold distance of the user client device. The provider client device is instructed by the user client device to trigger a mutual augmented reality session. A live video feed is initiated and captured by a camera on the respective device. The displayed video feed is augmented with augmented reality elements that is associated with the transportation service. The augmented reality elements including a first augmented reality element. | INDEPENDENT CLAIMS are included for the following:a non-transitory computer-readable storage medium for storing computer-executable instructions; anda computer system. | Method for generating mutual augmented reality experiences for users of a network system, such as transport management systems, which provides support for logistical issues in managing the transportation of people, cargo, etc. | The method enable a more efficient pickup experience for users and providers a network system, which creates a mutual augmented reality (AR) experience that allows a user and provider to identify each other and exchange messages and other data. | The drawing shows a schematic representation of the method. 100Client device302Captured Image304Vehicle306Arrow308Text box",
US10740856B2,"O'Herlihy, Michael | Alon, Meron | Chokshi, Karna",2020-08-11,2017-05-01,"Computing method for determining presentation elements of customized support operator interface, involves providing customized support interface that includes selected set of customer support categories that are mapped to events",0,,G06Q003000 | G06Q005014,,"Uber Technologies Inc.,San Francisco,CA,US","Uber Technologies Inc.,San Francisco,CA,US ",UBER TECHNOLOGIES INC,Dynamic support information based on contextual information,"A server provides a customized support interface to a user that is requesting assistance regarding a service that the user received. The server provides a support interface that is customized for the user based on data related to the service and the user's past behavior. By providing a customized support interface, the user is more easily able to report any grievances that the user may have had with the service thereby reducing any further user aggravation.","The computing method involves accessing, by a processor, events that occurred during a user's trip from a first location to a second location. A set of customer support categories associated with a distinct issue that the user experienced during the trip, is selected from a number of customer support categories. The events are mapped to the selected set of customer support categories. A customized support interface is provided to a client device of the user, which includes the selected set of customer support categories that are mapped to the events that occurred during the user's trip. A selection of the customer support categories within the selected set of customer support categories that are included in the customized support interface, is received from the client device of the user. The client device of the user is contacted regarding the selected customer support categories. | INDEPENDENT CLAIMS are also included for the following:a computer program product that comprises a non-transitory computer readable storage medium that stores executable code for determining presentation elements of a customized support operator interface; anda computer system for determining presentation elements of a customized support operator interface. | Computing method for determining presentation elements of customized support operator interface. | The arrangement service is enabled to identify a pool of service providers that are available to provide the requested service and satisfy predetermined conditions, select a service provider from the pool of service providers, and transmit an invitation to the location tracking device of the service provider. The help module is enabled to provide the customer support categories in the customized support interface in an ordering that is prioritized according to the user's sensitivity to the different customer support categories that are associated with the transport service. | The drawing shows the schematic view of the user interface for reporting problems related to a service. 327User interface",
US10740619B2,"Massoudifar, Pegah | Mahadevan, Vijay | Berliner, Jonathan",2020-08-11,2018-08-31,"Method for generating feature vector for set of frames of video, involves comparing predicted frames to corresponding ordered set of frames, and generating error-based feature vector characterizing media item based on error representations",1,US11386284B2,G06K000900 | G06F001643 | G06F0016483 | G06K000962 | G06N000304 | G06N000308 | G06N002000,,"Uber Technologies Inc.,San Francisco,CA,US","Uber Technologies Inc.,San Francisco,CA,US ",UBER TECHNOLOGIES INC,Characterizing content with a predictive error representation,"A media item comprising a set of frames is received by a feature extraction system. A frame predictor is executed on each frame of the set of frames. An error representation is extracted for each frame of the set of frames during the execution of the frame predictor. An error-based feature vector is generated from the error representations associated with each frame of the set of frames. A seed media item is identified having a first error-based feature vector. A similarity score is determined among the first error-based feature vector and each error-based feature vector of a set of error-based feature vectors. A subset of error-based feature vectors, hence a subset of corresponding media items, is selected based on similarity score.","The method involves receiving a media item comprising an ordered set of frames. A frame predictor (102) is applied to the set of the frames to generate a set of predicted frames, where the frame predictor generates a subsequent frame of the media item based on the previous frame of the media item. The set of the predicted frames is compared to the corresponding ordered set of the frames and a set of error representations (124) describing differences between the predicted frames and the corresponding frames of the media item is determined based on the comparison. An error-based feature vector (126) characterizing the media item is generated based on the determined error representations. | An INDEPENDENT CLAIM is also included for a non-transitory computer-readable storage medium for storing a set of instructions for generating a feature vector for a set of frames of sequential content. | Method for generating a feature vector for a set of frames of sequential content i.e. video. | The method enables comparing the generated frame prediction to an actual subsequent frame of the set of the frames and generating the error representation that describes the predicted frame differing from the actual frame to improve generation of additional frame predictions. | The drawing shows a block diagram of a feature extraction system. 102Frame predictor104Error extractor106Feature vector generator124Error representations126Error-based feature vector",
US10741072B2,"Madrigal, Luis | Lasker, Eyal | Guo, Xiao | Pyapali, Padmini | Zhang, Tony Ran",2020-08-11,2019-08-01,"Computer system for evaluating freight operator, has processor for receiving interval data from mobile device associated with freight operator of freight vehicle and selecting dock for freight vehicle based on determined information",0,,G08G0001127 | B60W004009 | G06Q001006 | G07C000500 | G07C000508 | G08G000100 | G08G0001123 | G08G000114 | H04W000440 | H04W000446 | B60W004008,,"Uber Technologies Inc.,San Francisco,CA,US","Uber Technologies Inc.,San Francisco,CA,US ",UBER TECHNOLOGIES INC,Network computer system to evaluate an operator of a freight vehicle,"A network computer system can associate an operator with a mobile device. Additionally, the network computer system can determine a current location of a freight vehicle operated by the operator, using location information transmitted by the mobile device associated with the operator. At a given instance, the network computer system can determine a time of arrival for the freight vehicle to arrive at a given destination location based on various parameters. For example, the time of arrival can be based at least in part, on (i) a distance between the current location of the freight vehicle to the given destination location, (ii) a time for the freight vehicle to travel the distance, and (iii) a duration of one or more required downtime intervals during which one or more restrictions are placed on the operator operating the freight vehicle.","The system has a processor for receiving interval data from a mobile device associated with a freight operator of a freight vehicle that is arrived at a destination location during a time interval. The processor determines performance of the freight operator in operating the freight vehicle based on a freight operator model and the interval data. The processor determines information about the freight operator operating the freight vehicle, where the determined information includes information identifying a vehicle type of the freight vehicle, and a set of determinations based on the determined performance of the freight operator. The processor selects a dock for the freight vehicle based on the determined information. | INDEPENDENT CLAIMS are also included for the following:a non-transitory computer readable medium comprising a set of instructions for evaluating a freight operatora method for evaluating a freight operator. | Computer system for evaluating a freight operator. Uses include but are not limited to server, desktop computer, cellular phone, smartphone, personal digital assistant, laptop computer, printer, network equipment such as router, wearable computing device, and tablet device. | The system continuously or periodically updates time of arrival to enable entities operating storage facilities to receive loads to appropriately allocate a correct amount of resources to accommodate an incoming freight vehicle. | The drawing shows a flow diagram illustrating a method for evaluating a freight operator. 200Step for associating operator with mobile device202Step for monitoring operator using mobile device204Step for causing or controlling mobile device to acquire operator related information of operator operating freight vehicle212Step for determining sub-intervals in which freight vehicle is switched off or operator is left freight vehicle when freight vehicle is idle214Step for evaluating operator over time interval using operator related information",
US10743145B2,"Quitoriano, Ashley | Massoudi, Kamran | Singh, Arundhati | Callender, James",2020-08-11,2019-12-20,"Network computer system for coordinating delivery of network content to service provider, has processor that selects content item based on set of prioritization rules and generates graphical representation of selected content item",0,,H04L002908 | H04W002400 | H04W0004029 | H04W000420,,"Uber Technologies Inc.,San Francisco,CA,US","Uber Technologies Inc.,San Francisco,CA,US ",UBER TECHNOLOGIES INC,Network computer system to coordinate delivery of network content to service providers,"A computer system can detect a trigger in connection with an activity performed by a service provider, and determine (i) a first content item associated with the detected trigger and a second content item associated with the detected trigger, and (ii) select a set of service parameters relating to a service session of the service provider based on the first content item and the second content item. Additionally, the computer system can obtain feature data of the first content item and the second content item. Based on the feature data of the first content item and the second content item, the computer system can determine that a corresponding graphical representation of the first content item and of the second content item overlap for a given time interval. Based on a set of prioritization rules, the computer system can select one of the first or second content item and generate the corresponding graphical representation of the selected one of the first or second content item for the given time interval.","The network computer system (100) has a processor that determines a first content item associated with the detected trigger and a second content item associated with the detected trigger. The first content item originates from a first network information service and the second content item originates from a second network information service. The processor selects a set of service parameters relating to a service session of the service provider based on the first content item and the second content item. The processor determines a corresponding graphical representation of the first content item and of the second content item overlap for a given time interval based on the feature data of the first content item and the feature data of the second content item. One of the first or second content items is selected based on set of prioritization rules. The corresponding graphical representation of the selected one of the first or second content item for the given time interval is generated. | INDEPENDENT CLAIMS are included for the following:a method for coordinating delivery of network content to service provider; anda non-transitory computer readable medium storing program for coordinating delivery of network content to service provider. | Network computer system for coordinating delivery of network content to service provider. | The resolver logic utilizes the historical driving data of the service providers to determine network content preferences. The source failure logic can provide an instruction to the offending network information service to stop providing the offending content item to positioner or cause positioner to stop receiving content item specifically from the offending network information service, without shutting down the entire network computer system. The resolver logic can detect the conflict and prioritize the positioning recommendation for service application based on the historical driving data and upon trigger logic detecting the shared triggering event. | The drawing shows a block diagram of a network computer system for coordinating delivery of network content to service providers. 100Network computer system102Positioner104Service request manager116Database130Network",
US10752363B1,"Moore, Mark | Badalamenti, John Conway | Villa, Ian | Warmoth, Adam | Josephson, David | Holden, Jeffrey A.",2020-08-25,2018-11-01,"Method for use in built-up areas where noise may be a concern such as cities and metropolitan areas, involves receiving a VTOL aircraft transport request identifying a rider, received a weight estimate of a payload",5,US11548642B2 | US11724798B1 | US11754460B2 | US20210293650A1 | US20210309354A1,B64D001106 | B64C001700 | B64C002900 | B64D001100 | G01G001907,,"UBER TECHNOLOGIES INC.,San Francisco,CA,US","UBER TECHNOLOGIES INC.,San Francisco,CA,US ",JOBY AERO INC,Safe vertical take-off and landing aircraft payload assignment,"Vertical take-off and landing (VTOL) aircraft can provide opportunities to incorporate aerial transportation into transportation networks for cities and metropolitan areas. However, VTOL aircraft can be sensitive to uneven weight distributions, e.g., the payload of an aircraft is primarily loaded in the front, back, left, or right. When the aircraft is loaded unevenly, the center of mass of the aircraft may shift substantially enough to negatively impact performance of the aircraft. Thus, in turn, there is an opportunity that the VTOL may be loaded unevenly if seating and/or luggage placement is not coordinated. Among other advantages, dynamically assigning the VTOL aircraft payloads can increase VTOL safety by ensuring the VTOL aircraft is loaded evenly and meets all weight requirements; can increase transportation efficiency by increasing rider throughput; and can increase the availability of the VTOL services to all potential riders.","The method involves receiving a vertical take-off and landing (VTOL) aircraft transport request identifying a rider. Received a weight estimate of a payload that is associated with the rider. Assigned the payload which is associated with the rider to a particular VTOL aircraft of a multiple of VTOL aircraft based, at least in unit, on the weight estimate of the payload associated with the rider and a weight distribution criteria for each of the multiple of VTOL aircraft. Received a weight update of the payload associated with the rider. Reassigned the payload associated with the rider based, at least in the unit, on the weight update and the weight distribution criteria of the particular VTOL aircraft. And caused the particular VTOL aircraft to be loaded. | An INDEPENDENT CLAIM is included for a computer system. | Method for use in built-up areas where noise may be a concern such as cities and metropolitan areas. | The method allows greater flexibility in the transport network and greater rider throughput. | The drawing shows a flowchart of the method. 800Method810Receive VTOL aircraft transport requests820Receive weight estimates of payloads830Assign payloads to a VTOL aircraft based on the weight estimates and weight distribution criteria of the VTOL aircraft840Receive weight updates of payloads850Reassign payloads based on the weight updates and the weight distribution criteria",
US10757223B2,"Hjerrild, Benjamin Andrew | Narayanan, Naveen Pilanku | Stanley, Jr., Bruce McLaren",2020-08-25,2018-09-13,"Method for loading service using second application when attempts to load service using first application are failed, involves providing service based on parameters using second application",0,,H04L006940,,"Uber Technologies Inc.,San Francisco,CA,US","Uber Technologies Inc.,San Francisco,CA,US ",UBER TECHNOLOGIES INC,Alternative service pathway for service application,"A processor of a client device attempts to load a service using a first application that is pre-configured to communicate with a provider of the service during an initial loading of the first application. The processor determines that the first application has failed to load the service and responsively re-attempts to load the service using the first application. In response to determining that the first application has again failed to load the service during the re-attempt, the processor launches a second application that is not pre-configured to communicate with the provider during an initial loading of the second application. The processor retrieves, using the second application, from the provider, parameters for loading the service, and loads the service, using the second application, based on the parameters.",The method (300) involves attempting (302) to load a first application for execution on a client device. The first application is pre-configured to communicate with a provider for providing a service to a user of the client device. The determination is made (304) that the first application is failed to load. A second application is loaded (310) with a reference to the provider to provide the service in response to determining that the first application has failed to load. The reference is supplied by the first application to the second application. The second application is not pre-configured to provide the service. The parameters for providing the service are retrieved (312) from the provider using the second application. The service is provided (314) based on the parameters using the second application. | INDEPENDENT CLAIMS are included for the following:a non-transitory computer-readable storage medium storing program for loading service using second application when attempts to load service using first application are failed; anda system for providing those services when application fails to properly load or experiences error. | Method for loading service using second application when attempts to load service using first application are failed and for providing those services when application fails to properly load or experiences error. | The user of the device is permitted to continue to receive the service when initially interacting with the service application despite the service application failing to load or properly execute. The service application is prevented from automatically performing an update to the service application and modifying executing code of the service application. | The drawing shows a flow chart illustrating the process for loading service using second application when attempts to load service using first application are failed. 300Method for loading service using second application when attempts to load service using first application are failed302Step for attempting to load first application for execution on client device304Step for determining that first application is failed to load310Step for loading second application with reference to provider312Step for retrieving parameters for providing service from provider using second application314Step for providing service based on parameters using second application,
